action_tool_name,state,reform_category,Action_or_Tool,action_tool_type,description,data_announced_passed,effective_date,project_type,implementation,relevant_urls,executive_orders_leg,EO_Leg_ID
Reviewing and Streamlining Housing Permits and Regulations,Virginia,"Shift Culture,Consolidate or Eliminate Steps,Set Projects up for Success",Action,Regulatory Change,"On her first day in office, Governor Spanberger signed an executive order directing a comprehensive, multi-agency review of all regulations and permitting practices that affect housing development, with the goals of eliminating unnecessary requirements, streamlining approvals, and reducing barriers to housing production. The order establishes a Commission on Unlocking Housing Production to advise the Governor on strategies to increase housing supply, and directs it to recommend legislative, regulatory, and administrative changes to expand housing supply across Virginia.
",2026-01-17,,Housing and Other Building Construction,Unknown,"https://www.governor.virginia.gov/media/governorvirginiagov/governor-of-virginia/pdf/eo/EXECUTIVE-ORDER-THREE\_1.17.pdf
",recH6qMeOpJhuj0hL,EO 3 (2026)
Standardizing County Hearing and Permit Decision Timelines,Illinois,"Promote Certainty in Permitting Process,Change Decision-Making Level,Consolidate or Eliminate Steps",Action,Regulatory Change,"The Act standardizes permitting procedures by requiring the county board or zoning board of appeals to hold at least one public hearing “not more than 60 days after the filing of the application” and to make its siting or special use decision “not more than 30 days after the conclusion of the public hearing,” which constrains how long local governments can keep applications in limbo.

",2023-01-27,2023-01-27,Clean Energy,Fully Implemented,"https://www.ilga.gov/documents/legislation/publicacts/102/PDF/102-1123.pdf
",recbwxc595ItIk22O,Public Act 102-1123
Prohibiting Local Governments from Enforcing Construction Site Environmental Regulations More Restrictive than State and Federal Baseline Standards,Iowa,"Consolidate or Eliminate Steps,Change Decision-Making Level,Promote Certainty in Permitting Process",Action,Regulatory Change,"In 2024, Governor Kim Reynolds signed Senate File 455, (Chapter 1011, 2024 laws). This law prohibits counties and cities from adopting or enforcing construction site regulations relating to topsoil preservation, compaction, placement, or depth that are more restrictive than the National Pollutant Discharge Elimination System General Permit No. 2 issued by the Iowa Department of Natural Resources. The law also restricts local stormwater regulations for new developments. 
",2024-04-10,2024-07-01,Housing and Other Building Construction,Fully Implemented,"https://www.legis.iowa.gov/docs/publications/iactc/90.2/CH1011.pdf
",recXOzRjQtqUdzUyt,"Chapter 1011, 2024 laws"
Online Portal for Environmental Permits (myDEQ),Arizona,"Utilize Data and Technology,Shift Culture,Promote Certainty in Permitting Process",Tool,Dashboard/Portal,"MyDEQ is Arizona DEQ’s online portal that allows regulated entities to obtain, modify, and terminate various environmental permits and submit compliance reports electronically. First launched in 2016, in 2022 it expanded in response to public hearings.

Since its 2016 launch, it has rolled out at least 17 online services, [cutting average permit decision times across ADEQ from 121 days to about 8 days](https://www.nascio.org/wp-content/uploads/2020/09/NASCIO-2018-Submission-DEQ.pdf) and [generating over $100 million in estimated economic benefit](https://cei.org/studies/boosting-business-in-the-desert/).
",,,General,Fully Implemented,"https://azdeq.gov/mydeq
",,
Creating Three Model Housing Zoning Ordinances Tailored to City Size,Oregon,"Promote Certainty in Permitting Process,Consolidate or Eliminate Steps,Set Projects up for Success,Shift Culture",Action,"Written Resource,Regulatory Change","Chapter 111, 2024 laws directed local governments to develop their own zoning standards independently, producing variable approval frameworks across jurisdictions, such that an identical middle housing project could face different standards, timelines, and discretionary hurdles depending on location. The bill directed the Department of Land Conservation and Development to produce three model ordinances tailored to small, medium, and large cities. A city adopting the model ordinance receives a pre-built, state-vetted set of clear and objective development standards without commissioning its own rulemaking process. The Land Conservation and Development Commission adopted the model codes by January 1, 2026, with implementation guidance published in April 2026.
",2024-04-17,2024-04-18,"Housing and Other Building Construction,General",Fully Implemented,"https://olis.oregonlegislature.gov/liz/2024R1/Downloads/MeasureDocument/SB1564 
",recDn4sAAcD9hU4Yx,"Chapter 111, 2024 laws / SB 1564 (2024)"
Designating Points of Contact for Permit Applications,Washington,"Change Decision-Making Level,Shift Culture",Action,"Reorganization or Creation of New Government Offices,Regulatory Change","WA Chapter 235, 2026 Laws (Concerning Permit Review Processes) requires local governments to designate an individual responsible for all final project permit decisions and to have a point of contact for each permit application.
",2026-03-27,2026-06-11,Housing and Other Building Construction,Fully Implemented,"https://lawfilesext.leg.wa.gov/biennium/2025-26/Pdf/Bills/House%20Passed%20Legislature/2418-S2.PL.pdf?q=20260610113517
",rec9alHAz9A0ACAem,"Chapter 235, 2026 Laws"
Ensuring Permitting of Manufactured Dwellings,Florida,"Shift Culture,Promote Certainty in Permitting Process",Action,Regulatory Change,"The Florida 2026 Legislative Session took action to ensure permitting of manufactured housing. One law provides that a residential manufactured building certified by the Department of Business and Professional Regulation may be placed on any lot in a recreational vehicle park, instead of only those lots specifically designated for mobile homes. It also requires local governments to allow off-site constructed residential dwellings be permitted in any zoning district where single-family detached dwellings are allowed. 
Another law further clarifies that building permits may not be denied for the placement of manufactured housing on a recreational vehicle lot and requires offsite-constructed residential dwellings be treated the same as other residential single family detached dwellings.
","2026-03-27,2026-05-06",2026-07-01,Housing and Other Building Construction,Not Started,"https://www.flsenate.gov/Session/Bill/2026/399/BillText/er/PDF
","recQqBMX5a3VvKnVt,recKXK1O32illiQ1K","Chapter 2026-7,Chapter 2026-63"
Reporting on Water Quality Permitting Timelines and Efficiency  ,Colorado,"Shift Culture,Utilize Data and Technology,Promote Certainty in Permitting Process",Action,Written Resource,"The Department of Public Health and Environment's (CDPHE) is required to provide an annual report to the Water Quality Control Commission with data on how long the division takes to review and issue water quality permits, and how it is reducing the permit backlog and improving efficiency.

",2025-06-04,2025-06-04,Water,Fully Implemented,"https://leg.colorado.gov/bills/sb25-305
",rec4a293QrPRiESVA,SB25-305 - Water Quality Permitting Efficiency
Creating Governance Structures to Increase Permitting Support,Vermont,"Shift Culture,Change Decision-Making Level,Promote Certainty in Permitting Process",Action,"Reorganization or Creation of New Government Offices,Permit Cataloging/Mapping,Regulatory Change","- Created the Land Use Review Board, a full-time professional board with expertise in planning, development, environmental science, and law.
- Created the Community Investment Board to allocate resources statewide.
- Tasked the Regional Planning Commissions with creating Future Land Use Maps through a public process.

",2024-06-01,,"Housing and Other Building Construction,General",Fully Implemented,"https://act250.vermont.gov/new-land-use-review-framework-act-181
",recFuBEwOwPBxWzT3,Act 181 (H.687)
Boosting Housing and Development Projects for a Growing Population,Montana,Change Decision-Making Level,Action,Regulatory Change,"SB 382 - 
Creates the Montana Land Use Planning Act, overhauling the state's land use planning and how development projects are reviewed and permitted. States must adopt several state-developed plans, the Land Use Plan and Map, Zoning Regulations and Map, and Subdivision Regulations. Cities covered by the Plan and those who opt-in must assess their housing needs, land availability, rate of population growth, and identify obstacles to housing development, then adopt 5 of 14 state pro-growth strategies. 

Creates a review process for development projects which reduces requirements necessitating public hearings and comments, allowing for administrative approval for projects in compliance.  

Shifts public participation from the planning states and site-specific developments to just the planning and adoption of land use plans and codes. Individual development projects will be reviewed at the city-level and no longer require direct public involvement.

SB 406 - 
Create local state standards for building codes and prohibits local governments from creating stricter standards
","2023-05-17,2022-07-13,2023-06-29",,Housing and Other Building Construction,Fully Implemented,"https://redesign-commerce.mt.gov/Infrastructure-Planning/Community-Planning-Platform/Planning-Documents-And-Guidance/Montana-Land-Use-Planning-Act

https://redesign-commerce.mt.gov/_shared/comdev/CTAP/docs/CPP/LUPA/MT_Tech_Encouraging_Housing.pdf

","recSzKhZRzblp7Vsg,recH7m0jhfvnQHUeG,recppySZmSxXD3LwO","SB382 | 2023,EO 5-2022,EO 3-2023"
